venue_id,venue_name,quiz_date,placing,team,score
364268288,Red Horn Coffee House and Brewing (Cedar Park),2023-04-18,1,That's What She Said,92
364268288,Red Horn Coffee House and Brewing (Cedar Park),2023-04-18,2,Soy Chorizo,75
364268288,Red Horn Coffee House and Brewing (Cedar Park),2023-04-18,3,Stolen table,58
364268288,Red Horn Coffee House and Brewing (Cedar Park),2023-04-18,4,Jandy,55
364268288,Red Horn Coffee House and Brewing (Cedar Park),2023-04-18,5,Zoinks!,52
364268288,Red Horn Coffee House and Brewing (Cedar Park),2023-04-18,6,Swedish Chef Yodeling Academy,50
364268288,Red Horn Coffee House and Brewing (Cedar Park),2023-04-18,7,Minus Betsie,47
364268288,Red Horn Coffee House and Brewing (Cedar Park),2023-04-18,8,She Said She Was 1800,35
364268288,Red Horn Coffee House and Brewing (Cedar Park),2023-04-18,9,UNO Mars,35
364268288,Red Horn Coffee House and Brewing (Cedar Park),2023-04-11,1,Zoinks!,83
364268288,Red Horn Coffee House and Brewing (Cedar Park),2023-04-11,2,That's What She Said,79
364268288,Red Horn Coffee House and Brewing (Cedar Park),2023-04-11,3,Trying to be Drunk Enough,73
364268288,Red Horn Coffee House and Brewing (Cedar Park),2023-04-11,4,Caro Kann My Wayward Son,72
364268288,Red Horn Coffee House and Brewing (Cedar Park),2023-04-11,5,50% Ben,62
364268288,Red Horn Coffee House and Brewing (Cedar Park),2023-04-04,1,Come On Eileens Easter Basket,93
364268288,Red Horn Coffee House and Brewing (Cedar Park),2023-04-04,2,Just The Swifts,93
364268288,Red Horn Coffee House and Brewing (Cedar Park),2023-04-04,3,Hybrid Work Theory (Im about to break),81
364268288,Red Horn Coffee House and Brewing (Cedar Park),2023-04-04,4,The Unidicted,78
364268288,Red Horn Coffee House and Brewing (Cedar Park),2023-04-04,5,Inconceivable!,72
364268288,Red Horn Coffee House and Brewing (Cedar Park),2023-04-04,6,Playing in Traffic Chasing Squirrels,71
364268288,Red Horn Coffee House and Brewing (Cedar Park),2023-04-04,7,Jessica Kelsch,41
